Appl_Type,Appl_No,Product_No,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Delist_Flag,Submission_Date
N,212295,1,10722522,"Nov 7, 2031",,,U-2968,,"Oct 23, 2020"
N,20965,1,11077192,"Jan 12, 2038",,,U-3163,,"Aug 11, 2021"
N,210854,3,10633397,"Apr 27, 2036",,,U-3000,,"Aug 11, 2021"
N,210854,3,10633397,"Apr 27, 2036",,,U-2816,,"Aug 11, 2021"
N,213217,1,11142528,"Apr 22, 2034",,Y,U-1745,,"Nov 12, 2021"
N,213217,1,11142528,"Apr 22, 2034",,Y,U-2145,,"Nov 12, 2021"
N,213217,1,11142528,"Apr 22, 2034",,Y,U-3063,,"Nov 12, 2021"
N,208259,1,10532993,"Jul 11, 2026",,,U-1524,,"Mar 30, 2020"
N,201023,1,8927592,"Oct 27, 2030",,,U-3200,,"Jan 12, 2015"
N,216660,1,10857162,"Dec 24, 2033",,,U-3460,,"Oct 28, 2022"
N,216660,1,10251896,"Dec 24, 2033",,,U-3460,,"Oct 28, 2022"
N,216660,1,9872865,"Dec 24, 2033",,,U-3460,,"Oct 28, 2022"
N,213736,1,11466004,"May 3, 2039",,,U-3464,,"Nov 7, 2022"
N,213736,2,11466004,"May 3, 2039",,,U-3464,,"Nov 7, 2022"
N,213736,3,11466004,"May 3, 2039",,,U-3464,,"Nov 7, 2022"
N,213736,1,11466004,"May 3, 2039",,,U-3465,,"Nov 7, 2022"
N,213736,2,11466004,"May 3, 2039",,,U-3465,,"Nov 7, 2022"
N,213736,3,11466004,"May 3, 2039",,,U-3465,,"Nov 7, 2022"
N,213736,1,11466004,"May 3, 2039",,,U-3466,,"Nov 7, 2022"
N,213736,2,11466004,"May 3, 2039",,,U-3466,,"Nov 7, 2022"
N,213736,3,11466004,"May 3, 2039",,,U-3466,,"Nov 7, 2022"
N,215446,1,11478450,"Nov 1, 2039",,,U-3468,,"Nov 15, 2022"
N,211810,2,10189833,"May 5, 2036",,,U-2606,,"Nov 14, 2022"
N,211810,2,9358235,"Jun 8, 2033",,,U-2606,,"Nov 14, 2022"
N,211810,2,8461169,"Apr 19, 2028",,,U-2606,,"Nov 14, 2022"
N,211675,1,11512092,"Oct 17, 2036",,,U-3275,,"Dec 16, 2022"
N,211675,1,11512092,"Oct 17, 2036",,,U-3487,,"Dec 16, 2022"
