Appl_Type,Appl_No,Product_No,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Delist_Flag,Submission_Date
N,206038,2,8741933,"Nov 8, 2026",,,U-1909,,"Oct 21, 2016"
N,204824,8,9421333,"Mar 19, 2030",,Y,U-1442,,"Sep 21, 2016"
N,201635,1,8992989,"Nov 16, 2027",,Y,U-1992,,"Apr 8, 2015"
N,201635,2,8663683,"Nov 16, 2027",,Y,U-1992,,
N,206038,1,9670163,"Dec 28, 2026",,Y,U-1911,,"Jul 5, 2017"
N,209195,1,8735372,"Mar 21, 2028",Y,Y,U-2040,,"Jul 28, 2017"
N,208780,1,8592462,"Apr 22, 2029",,,U-2059,,"Feb 10, 2017"
N,208780,3,8084475,"Jan 8, 2030",,,U-2054,,"Feb 10, 2017"
N,202880,2,9486451,"Sep 12, 2034",,,U-55,,"Jan 12, 2017"
N,21929,1,8143239,"Jan 29, 2023",,Y,U-2002,,"Apr 26, 2012"
N,202714,1,9511109,"Oct 21, 2029",,,U-1924,,"Dec 20, 2016"
N,209115,2,8143241,"Aug 12, 2027",,,U-2273,,"Dec 21, 2016"
N,204485,1,9744239,"Jan 30, 2035",,,U-1857,,"Aug 29, 2017"
N,205777,2,9345701,"May 10, 2022",,Y,U-1819,,"May 24, 2016"
N,203441,1,7847061,"Nov 1, 2025",,,U-1320,Y,"Jan 18, 2013"
N,206627,7,9492390,"Aug 24, 2027",,,U-1556,,"Nov 17, 2016"
N,206073,1,8673927,"May 4, 2027",,,U-1652,Y,"Feb 19, 2015"
N,20866,1,9352025,"Jun 7, 2030",,,U-2112,,"Sep 27, 2017"
N,208073,1,8367701,"Apr 15, 2029",,Y,U-1880,,"Aug 3, 2016"
N,208510,4,7687467,"Feb 24, 2023",,Y,U-727,,"Feb 27, 2017"
N,209803,2,8080580,"Jul 13, 2030",Y,Y,U-2214,,"Jan 16, 2018"
N,209819,1,8921387,"Jan 6, 2032",,Y,U-2173,,"Dec 13, 2017"
N,209819,2,8921387,"Jan 6, 2032",,Y,U-2174,,"Dec 13, 2017"
N,202293,1,8329648,"Aug 18, 2026",,,U-2212,,"Nov 15, 2017"
N,208780,2,8013002,"Jan 8, 2030",,,U-2082,,"Mar 8, 2018"
N,202293,2,8361972,"Mar 21, 2028",,,U-493,,"Feb 5, 2014"
N,210563,1,9814721,"Jun 3, 2031",,,U-1947,,"Mar 6, 2018"
N,210563,4,8497277,"Dec 28, 2026",,,U-1946,,"Mar 6, 2018"
N,200603,4,9815827,"Feb 20, 2024",,,U-2166,,"Dec 12, 2017"
N,207202,2,9387182,"Dec 25, 2023",,,U-1529,,"Dec 12, 2017"
N,208716,4,7855211,"Dec 15, 2029",Y,Y,U-2135,,"Oct 16, 2017"
N,210563,4,10004746,"Jun 3, 2031",,,U-2242,,"Jul 17, 2018"
N,210251,1,7803788,"Feb 2, 2022",,,U-257,,"Feb 26, 2018"
N,205422,6,9839637,"Apr 12, 2026",,Y,U-1529,,"Jan 9, 2018"
N,204026,4,8198262,"Jun 17, 2025",,,U-2254,,"Mar 15, 2018"
N,209311,3,8916588,"Mar 23, 2032",,,U-2357,,"Sep 13, 2018"
N,208692,3,10039757,"Jul 18, 2031",,,U-1480,,"Sep 6, 2018"
N,210563,1,8563563,"Apr 26, 2027",,,U-2242,,"Mar 6, 2018"
N,208658,4,9949998,"Jun 11, 2034",,,U-2290,,"May 16, 2018"
N,207202,1,8847766,"Mar 29, 2030",,Y,U-2167,,"Dec 12, 2017"
N,202806,2,8703781,"Oct 15, 2030",Y,Y,U-2032,,"May 22, 2015"
N,207202,4,8945005,"Aug 19, 2029",,Y,U-2167,,"Dec 12, 2017"
N,208010,1,9925147,"Apr 25, 2028",,Y,U-2255,,"Apr 9, 2018"
N,205580,1,9572797,"Jan 28, 2031",,,U-1972,,"Aug 1, 2018"
N,208686,1,10154987,"Mar 25, 2036",,,U-71,,"Jan 4, 2019"
N,210365,1,10111840,"Jun 17, 2035",,,U-2442,,"Nov 27, 2018"
N,207027,1,7547719,"Jul 13, 2025",Y,Y,U-2452,,"Sep 21, 2015"
N,204114,2,8703781,"Oct 15, 2030",Y,Y,U-2037,,"May 22, 2015"
N,208558,2,8143241,"Aug 12, 2027",,,U-2101,,"Sep 15, 2017"
N,208558,1,8859562,"Aug 4, 2031",,,U-2482,,"Sep 15, 2017"
N,211192,1,9850277,"Jan 18, 2033",Y,Y,U-2533,,"Aug 13, 2018"
N,204370,4,7737142,"Sep 17, 2029",Y,Y,U-1750,,"Oct 16, 2015"
N,210132,1,9114145,"Nov 21, 2032",,,U-2439,,"Nov 19, 2018"
N,209184,1,8586093,"Mar 19, 2023",,,U-2484,,"Jan 18, 2019"
N,203505,1,6245819,"Jul 21, 2025",,,U-905,,"Mar 25, 2013"
N,21880,5,8404717,"Apr 11, 2023",,,U-1982,,
N,202880,1,10092559,"Sep 12, 2034",,,U-55,,"Nov 13, 2018"
N,204353,1,7943582,"Feb 26, 2029",Y,Y,U-2441,,"Sep 4, 2014"
N,205879,2,7943582,"Feb 26, 2029",Y,Y,U-2441,,"Oct 14, 2016"
N,204958,1,6130208,"Jun 29, 2023",,Y,U-1715,,"Jul 16, 2015"
N,208065,2,10183020,"Jan 2, 2035",,Y,U-2289,,"Feb 12, 2019"
N,208259,1,8450344,"Jul 11, 2026",Y,Y,U-1524,,"Mar 28, 2019"
N,21880,2,9393238,"May 15, 2023",,,U-2550,,"Jun 25, 2019"
N,211230,1,10351517,"Jun 7, 2026",,,U-2548,,"Aug 16, 2019"
N,211230,2,10351517,"Jun 7, 2026",,,U-2548,,"Aug 16, 2019"
N,209210,1,8501698,"Jun 20, 2027",,,U-2588,,"Aug 21, 2019"
N,209210,1,6515117,"Oct 4, 2025",Y,Y,U-2588,,"Aug 21, 2019"
N,209210,1,8361972,"Mar 21, 2028",,,U-2588,,"Aug 21, 2019"
N,209210,1,7456254,"Jun 30, 2025",,Y,U-2588,,"Nov 3, 2017"
N,209210,1,7456254,"Jun 30, 2025",,Y,U-2590,,"Nov 3, 2017"
N,209210,1,7456254,"Jun 30, 2025",,Y,U-2589,,"Nov 3, 2017"
N,209210,1,7612176,"Apr 13, 2025",,Y,U-2590,,"Nov 3, 2017"
N,209210,1,7612176,"Apr 13, 2025",,Y,U-2589,,"Nov 3, 2017"
N,209210,1,8329648,"Aug 18, 2026",,,U-2590,,"Nov 3, 2017"
N,209210,1,8329648,"Aug 18, 2026",,,U-2593,,"Nov 3, 2017"
N,209210,1,8329648,"Aug 18, 2026",,,U-2594,,"Nov 3, 2017"
N,209210,1,8329648,"Aug 18, 2026",,,U-2596,,"Nov 3, 2017"
N,209210,1,8329648,"Aug 18, 2026",,,U-2595,,"Nov 3, 2017"
N,209210,1,8329648,"Aug 18, 2026",,,U-2588,,"Nov 3, 2017"
N,209210,1,8329648,"Aug 18, 2026",,,U-2589,,"Nov 3, 2017"
N,209210,1,8906851,"Aug 18, 2026",,,U-2590,,"Nov 3, 2017"
N,209210,1,8906851,"Aug 18, 2026",,,U-2593,,"Nov 3, 2017"
N,209210,1,8906851,"Aug 18, 2026",,,U-2597,,"Nov 3, 2017"
N,209210,1,8906851,"Aug 18, 2026",,,U-2589,,"Nov 3, 2017"
N,209210,1,8431685,"Apr 13, 2025",,Y,U-2589,,"Nov 3, 2017"
N,209210,1,8431685,"Apr 13, 2025",,Y,U-2597,,"Nov 3, 2017"
N,209210,1,8431685,"Apr 13, 2025",,Y,U-2590,,"Nov 3, 2017"
N,209210,1,8461105,"Apr 13, 2025",,Y,U-2589,,"Nov 3, 2017"
N,209210,1,8461105,"Apr 13, 2025",,Y,U-2597,,"Nov 3, 2017"
N,209210,1,8461105,"Apr 13, 2025",,Y,U-2590,,"Nov 3, 2017"
N,209210,1,9238076,"Apr 15, 2024",,Y,U-2590,,"Nov 3, 2017"
N,209210,1,9238076,"Apr 15, 2024",,Y,U-2599,,"Nov 3, 2017"
N,209210,1,9238076,"Apr 15, 2024",,Y,U-2589,,"Nov 3, 2017"
N,209210,1,9238076,"Apr 15, 2024",,Y,U-2597,,"Nov 3, 2017"
N,209210,1,9884092,"Aug 18, 2026",,,U-2593,,"Mar 6, 2018"
N,209210,1,9884092,"Aug 18, 2026",,,U-2589,,"Mar 6, 2018"
N,209210,1,9884092,"Aug 18, 2026",,,U-2594,,"Mar 6, 2018"
N,209210,1,9884092,"Aug 18, 2026",,,U-2596,,"Mar 6, 2018"
N,209210,1,9884092,"Aug 18, 2026",,,U-2597,,"Mar 6, 2018"
N,209210,1,9884092,"Aug 18, 2026",,,U-2595,,"Mar 6, 2018"
N,209210,1,9884092,"Aug 18, 2026",,,U-2590,,"Mar 6, 2018"
N,209210,1,8895033,"Oct 4, 2030",,Y,U-2597,,"Nov 3, 2017"
N,209210,1,8895033,"Oct 4, 2030",,Y,U-2590,,"Nov 3, 2017"
N,209210,1,8895033,"Oct 4, 2030",,Y,U-2601,,"Nov 3, 2017"
N,209210,1,8895033,"Oct 4, 2030",,Y,U-2589,,"Nov 3, 2017"
N,209210,1,8895033,"Oct 4, 2030",,Y,U-2602,,"Nov 3, 2017"
N,212320,1,10179120,"Jan 6, 2035",,,U-2603,,"Aug 22, 2019"
N,212320,1,9802973,"Oct 23, 2035",Y,Y,U-2603,,"Aug 22, 2019"
N,212320,1,9248148,"Mar 29, 2031",,,U-2603,,"Aug 22, 2019"
N,209311,1,8916588,"Mar 23, 2032",,,U-2357,,"Sep 13, 2018"
N,209311,2,8916588,"Mar 23, 2032",,,U-2357,,"Sep 13, 2018"
N,209311,2,9603809,"Mar 23, 2032",,,U-2357,,"Sep 13, 2018"
N,209311,3,9034902,"Mar 23, 2032",,,U-2357,,"Sep 13, 2018"
N,209311,4,9028868,"Mar 23, 2032",,,U-2357,,"Sep 13, 2018"
N,209311,4,9034902,"Mar 23, 2032",,,U-2357,,"Sep 13, 2018"
N,209311,5,9603809,"Mar 23, 2032",,,U-2357,,"Sep 13, 2018"
N,209311,5,9034902,"Mar 23, 2032",,,U-2357,,"Sep 13, 2018"
N,20866,1,9993474,"Apr 30, 2032",,,U-2384,,"Sep 12, 2018"
N,20866,1,9993474,"Apr 30, 2032",,,U-2390,,"Sep 12, 2018"
N,20866,1,9993474,"Apr 30, 2032",,,U-2388,,"Sep 12, 2018"
N,20866,1,9993474,"Apr 30, 2032",,,U-2386,,"Sep 12, 2018"
N,20866,1,9993474,"Apr 30, 2032",,,U-2392,,"Sep 12, 2018"
N,207233,1,9808468,"Mar 31, 2035",,,U-2160,,"Nov 22, 2017"
N,202833,1,9789078,"May 15, 2033",,,U-2138,,"Nov 15, 2017"
N,207233,2,9808468,"Mar 31, 2035",,,U-2160,,"Nov 22, 2017"
N,18705,2,7872049,"Mar 12, 2029",,Y,U-2223,,"Apr 11, 2012"
N,205598,1,8192719,"Oct 12, 2027",,,U-2220,,"Jan 19, 2018"
N,22527,2,9592208,"Mar 30, 2032",,Y,U-2315,,"Jun 19, 2018"
N,203415,1,8183274,"Aug 24, 2026",,,U-1588,,"Sep 27, 2012"
N,208288,1,8623935,"Jul 26, 2029",,Y,U-1022,,"Sep 6, 2018"
N,205552,1,8563563,"Apr 26, 2027",,,U-2219,,"Jan 19, 2018"
N,209296,1,9808465,"Sep 18, 2035",,,U-2161,,"Dec 5, 2017"
N,200603,2,9827242,"May 23, 2031",,,U-2199,,"Dec 19, 2017"
N,202429,1,8470818,"Aug 2, 2026",,,U-1418,,"Jul 23, 2013"
N,200603,3,9827242,"May 23, 2031",,,U-2201,,"Dec 19, 2017"
N,22253,1,RE38551,"Mar 17, 2022",Y,Y,U-1567,,
N,22253,2,RE38551,"Mar 17, 2022",Y,Y,U-1567,,
N,22253,4,RE38551,"Mar 17, 2022",Y,Y,U-1567,,
N,200603,4,9827242,"May 23, 2031",,,U-2201,,"Dec 19, 2017"
N,200603,5,9827242,"May 23, 2031",,,U-2201,,"Dec 19, 2017"
N,210192,1,7125879,"Apr 21, 2025",Y,Y,U-257,,"Dec 20, 2017"
N,203567,1,9877955,"Jan 3, 2028",,,U-1969,,"Jan 31, 2018"
N,209963,1,9867815,"Feb 7, 2037",,,U-2227,,"Jan 31, 2018"
N,203858,3,9861622,"Mar 7, 2025",,,U-1316,,"Feb 5, 2018"
N,203858,5,9861622,"Mar 7, 2025",,,U-1316,,"Feb 5, 2018"
N,205494,1,6916802,"Apr 29, 2022",Y,,U-1571,,"Sep 15, 2014"
N,203312,1,9901640,"Dec 26, 2028",,Y,U-219,,"Feb 28, 2018"
N,208065,2,9732058,"Jul 25, 2032",Y,Y,U-2289,,"Aug 29, 2017"
N,208090,3,9968598,"Sep 2, 2036",,Y,U-1556,,"May 16, 2018"
N,208065,1,9732058,"Jul 25, 2032",Y,Y,U-2289,,"Aug 29, 2017"
N,210563,2,8563563,"Apr 26, 2027",,,U-2242,,"Mar 6, 2018"
N,210563,3,8563563,"Apr 26, 2027",,,U-1946,,"Mar 6, 2018"
N,210563,3,8563563,"Apr 26, 2027",,,U-1491,,"Mar 6, 2018"
N,204708,1,9861631,"Mar 25, 2031",,,U-1428,,"Jan 25, 2018"
N,204708,1,9861632,"Mar 25, 2031",,,U-1428,,"Jan 25, 2018"
N,201739,3,9833573,"Nov 23, 2024",,,U-2172,,"Dec 15, 2017"
N,208780,3,8420674,"Dec 18, 2027",,,U-2079,,"Feb 10, 2017"
N,210951,1,8802689,"Mar 27, 2027",,,U-2237,,"Mar 5, 2018"
N,210951,1,9884054,"Sep 23, 2033",,,U-2237,,"Mar 5, 2018"
N,204886,1,7713999,"May 30, 2024",Y,Y,U-2291,,"May 14, 2018"
N,22068,1,9061029,"Apr 7, 2032",Y,,U-1374,,"Dec 1, 2016"
N,22068,1,8415363,"Jul 18, 2026",Y,Y,U-1407,,"Jun 13, 2013"
N,22068,2,9061029,"Apr 7, 2032",Y,,U-1374,,"Dec 1, 2016"
N,22068,2,7169791,"Jul 4, 2023",Y,Y,U-836,,"Sep 23, 2011"
N,204114,2,8835443,"Jun 10, 2025",,,U-1582,,"Oct 7, 2014"
N,204114,2,8835443,"Jun 10, 2025",,,U-1581,,"Oct 7, 2014"
N,204308,1,9968553,"Nov 6, 2032",,,U-1723,,"Jun 1, 2018"
N,204114,2,8835443,"Jun 10, 2025",,,U-2020,,"Oct 7, 2014"
N,207202,6,8847766,"Mar 29, 2030",,Y,U-2167,,"Dec 12, 2017"
N,207202,6,9444503,"Nov 19, 2027",,Y,U-2169,,"Dec 12, 2017"
N,207202,6,9268909,"Oct 15, 2033",,Y,U-2168,,"Dec 12, 2017"
N,208686,1,9808442,"Mar 25, 2036",,,U-1892,,"Nov 20, 2017"
N,208686,1,9808442,"Mar 25, 2036",,,U-3,,"Nov 20, 2017"
N,210563,4,8563563,"Apr 26, 2027",,,U-2241,,"Mar 6, 2018"
N,208065,1,8946235,"Aug 8, 2032",Y,Y,U-2289,,"Dec 11, 2015"
N,208552,1,9974773,"Jun 11, 2035",,,U-2306,,"May 22, 2018"
N,208010,1,9925147,"Apr 25, 2028",,Y,U-2256,,"Apr 9, 2018"
N,208010,1,8426391,"Aug 27, 2028",,,U-1872,,"Jul 6, 2016"
N,208065,2,8946235,"Aug 8, 2032",Y,Y,U-2289,,"Dec 11, 2015"
N,204447,3,9125910,"Jun 15, 2027",,,U-2309,,"May 24, 2018"
N,209483,1,9956231,"Aug 31, 2030",,Y,U-1408,,"May 21, 2018"
N,209483,1,9956231,"Aug 31, 2030",,Y,U-193,,"May 21, 2018"
N,209483,1,9956231,"Aug 31, 2030",,Y,U-742,,"May 21, 2018"
N,209483,1,9956231,"Aug 31, 2030",,Y,U-1858,,"May 21, 2018"
N,208090,5,10004729,"Dec 10, 2030",,Y,U-1556,,"Jul 10, 2018"
N,205029,1,10004700,"Aug 14, 2034",,Y,U-2325,Y,"Jun 29, 2018"
N,209381,1,9592252,"Aug 11, 2032",,Y,U-2310,,"May 24, 2018"
N,21920,1,10028925,"Mar 3, 2026",,Y,U-1731,,"Jul 24, 2018"
N,21920,1,10022344,"Mar 3, 2026",,Y,U-1731,,"Jul 23, 2018"
N,210563,4,8563563,"Apr 26, 2027",,,U-1946,,"Mar 6, 2018"
N,205677,1,5856529,"Dec 9, 2022",Y,Y,U-2149,,
N,210793,1,8618130,"Jan 15, 2024",,,U-1845,,"Jul 25, 2018"
N,207318,2,10028944,"Jan 15, 2024",,,U-1974,,"Jul 25, 2018"
N,203858,1,10016404,"Mar 7, 2025",,,U-1316,,"Aug 2, 2018"
N,205580,1,9572797,"Jan 28, 2031",,,U-1971,,"Aug 1, 2018"
N,205437,1,10092541,"May 29, 2034",,,U-2403,,"Oct 9, 2018"
N,206038,1,10076513,"Dec 4, 2028",,Y,U-2411,,"Oct 18, 2018"
N,205437,3,10092541,"May 29, 2034",,,U-2403,,"Oct 9, 2018"
N,210793,1,7659285,"Aug 24, 2026",,,U-1844,,"Jul 25, 2018"
N,211155,1,9840505,"Jan 10, 2032",,,U-2412,,"Oct 23, 2018"
N,211155,2,9216982,"Jan 5, 2029",,,U-2412,,"Oct 23, 2018"
N,203858,4,10016404,"Mar 7, 2025",,,U-1316,,"Aug 2, 2018"
N,203858,6,10016404,"Mar 7, 2025",,,U-1316,,"Aug 2, 2018"
N,211155,2,9840505,"Jan 10, 2032",,,U-2413,,"Oct 23, 2018"
N,210563,1,10016435,"Jun 3, 2031",,,U-1650,,"Aug 2, 2018"
N,210563,3,10016435,"Jun 3, 2031",,,U-1650,,"Aug 2, 2018"
N,206089,1,8241664,"Mar 29, 2029",,Y,U-2506,,"Apr 8, 2019"
N,206089,2,8492369,"Dec 20, 2030",,Y,U-2506,,"Apr 8, 2019"
N,212038,5,10292939,"Oct 30, 2035",,Y,U-2357,,"May 22, 2019"
N,206089,3,8241664,"Mar 29, 2029",,Y,U-2506,,"Apr 8, 2019"
N,209884,1,8492441,"Nov 30, 2030",,,U-2511,,"Apr 19, 2019"
N,208551,1,7816404,"Apr 17, 2029",,,U-1656,,"Mar 27, 2017"
N,209115,2,10130636,"Aug 17, 2035",,,U-2273,,"Dec 17, 2018"
N,208658,3,10258637,"Apr 3, 2034",,,U-2290,,"Apr 30, 2019"
N,206111,1,10258637,"Apr 3, 2034",,,U-2290,,"Apr 30, 2019"
N,206111,3,10258637,"Apr 3, 2034",,,U-2290,,"Apr 30, 2019"
N,207027,1,7160870,"Nov 20, 2022",Y,Y,U-1736,,"Sep 21, 2015"
N,207027,1,7795293,"May 21, 2023",,,U-1306,,"Sep 21, 2015"
N,209115,3,10130636,"Aug 17, 2035",,,U-2101,,"Dec 17, 2018"
N,207027,1,7547719,"Jul 13, 2025",Y,Y,U-1306,,"Sep 21, 2015"
N,209964,1,7361650,"Feb 22, 2026",Y,Y,U-1694,,"May 3, 2019"
N,209964,1,7361649,"Feb 22, 2026",Y,Y,U-1694,,"May 3, 2019"
N,207027,2,7547719,"Jul 13, 2025",Y,Y,U-1575,,"Apr 5, 2019"
N,207027,2,7160870,"Nov 20, 2022",Y,Y,U-1736,,"Apr 5, 2019"
N,204629,2,10258637,"Apr 3, 2034",,,U-2290,,"Apr 30, 2019"
N,207027,2,7795293,"May 21, 2023",,,U-1306,,"Apr 5, 2019"
N,208623,1,10251873,"May 30, 2038",,,U-2371,,"May 7, 2019"
N,207946,1,10143693,"Apr 5, 2036",,,U-2457,,"Dec 18, 2018"
N,207946,3,10143693,"Apr 5, 2036",,,U-2458,,"Dec 18, 2018"
N,202292,1,9585868,"Oct 31, 2031",,,U-1319,,"Jul 24, 2017"
N,204114,1,8703781,"Oct 15, 2030",Y,Y,U-1712,,"May 22, 2015"
N,204114,1,8703781,"Oct 15, 2030",Y,Y,U-2020,,"May 22, 2015"
N,204114,2,8703781,"Oct 15, 2030",Y,Y,U-1712,,"May 22, 2015"
N,204114,2,8703781,"Oct 15, 2030",Y,Y,U-2305,,"May 22, 2015"
N,204114,2,8703781,"Oct 15, 2030",Y,Y,U-2020,,"May 22, 2015"
N,204114,3,8703781,"Oct 15, 2030",Y,Y,U-2305,,"May 22, 2015"
N,204114,3,8703781,"Oct 15, 2030",Y,Y,U-1712,,"May 22, 2015"
N,209091,1,8361972,"Mar 21, 2028",,,U-1976,,"Mar 22, 2017"
N,209091,1,8361972,"Mar 21, 2028",,,U-493,,"Mar 22, 2017"
N,211192,1,9968595,"Mar 13, 2035",,Y,U-2534,,"Aug 13, 2018"
N,211192,1,9968595,"Mar 13, 2035",,Y,U-2533,,"Aug 13, 2018"
N,210308,1,10292990,"May 20, 2034",,,U-2535,,"May 31, 2019"
N,207925,1,9670163,"Dec 28, 2026",,Y,U-2530,,"Jul 5, 2017"
N,211321,1,9289432,"Jan 18, 2028",,Y,U-2526,,"May 31, 2019"
N,211321,1,8217033,"Jan 18, 2028",,Y,U-2526,,"May 31, 2019"
N,210861,1,10285993,"Nov 16, 2035",,,U-2470,,"Jun 13, 2019"
N,212526,2,8227462,"Sep 28, 2030",Y,Y,U-2539,,"Jun 17, 2019"
N,22433,1,10300065,"Jan 27, 2036",,,U-2541,,"Jun 24, 2019"
N,200063,1,10307376,"Nov 8, 2027",,,U-1585,,"Jun 17, 2019"
N,207925,2,10272046,"Feb 27, 2033",,Y,U-2531,,"May 29, 2019"
N,207925,2,9670163,"Dec 28, 2026",,Y,U-2530,,"Jul 5, 2017"
N,207925,2,8354427,"Jul 6, 2026",,,U-1905,,"Apr 14, 2015"
N,207925,2,8629162,"Jun 24, 2025",,,U-2529,,"Feb 22, 2018"
N,207925,2,8324242,"Aug 5, 2027",,,U-1906,,"Apr 14, 2015"
N,207925,3,8324242,"Aug 5, 2027",,,U-1906,,"May 29, 2019"
N,207925,3,9670163,"Dec 28, 2026",,Y,U-1311,,"May 29, 2019"
N,207925,3,8354427,"Jul 6, 2026",,,U-1905,,"May 29, 2019"
N,210326,1,9833459,"Feb 14, 2034",,Y,U-2540,,"Jun 19, 2019"
N,22433,1,10300065,"Jan 27, 2036",,,U-2542,,"Jun 24, 2019"
N,209311,5,10292937,"Mar 23, 2032",,,U-2357,,"Jun 20, 2019"
N,204370,1,7737142,"Sep 17, 2029",Y,Y,U-2543,,"Oct 16, 2015"
N,204370,1,7737142,"Sep 17, 2029",Y,Y,U-1750,,"Oct 16, 2015"
N,204370,1,RE47350,"Jul 16, 2029",,,U-2543,,"May 15, 2019"
N,204370,2,7737142,"Sep 17, 2029",Y,Y,U-1750,,"Oct 16, 2015"
N,204370,3,7737142,"Sep 17, 2029",Y,Y,U-2543,,"Oct 16, 2015"
N,204370,3,7737142,"Sep 17, 2029",Y,Y,U-2544,,"Oct 16, 2015"
N,204370,4,7737142,"Sep 17, 2029",Y,Y,U-2544,,"Oct 16, 2015"
N,203505,1,8470890,"Feb 13, 2024",,,U-1370,,
N,203505,1,8470890,"Feb 13, 2024",,,U-1369,,
N,203505,1,6245819,"Jul 21, 2025",,,U-1370,,"Mar 25, 2013"
N,21880,1,7189740,"Apr 11, 2023",,,U-1982,,
N,50805,1,10058564,"Apr 5, 2022",,,U-1063,,"Sep 25, 2018"
N,21880,1,9056120,"Apr 11, 2023",,,U-1982,,"Jul 9, 2015"
N,21880,1,9101621,"May 15, 2023",,,U-1985,,"Aug 26, 2015"
N,21880,1,9101622,"May 15, 2023",,,U-1986,,"Aug 26, 2015"
N,21880,2,8404717,"Apr 11, 2023",,,U-1982,,
N,21880,2,7968569,"Oct 7, 2023",,,U-1984,,"Jul 14, 2011"
N,21880,2,8741929,"Mar 8, 2028",,,U-1983,,"Jun 17, 2014"
N,21880,2,8648095,"May 15, 2023",,,U-1984,,
N,21880,3,9101622,"May 15, 2023",,,U-1986,,"Aug 26, 2015"
N,21880,3,7968569,"Oct 7, 2023",,,U-1984,,"Jul 14, 2011"
N,21880,3,8648095,"May 15, 2023",,,U-1984,,
N,21880,4,9101621,"May 15, 2023",,,U-1985,,"Aug 26, 2015"
N,21880,4,9101622,"May 15, 2023",,,U-1986,,"Aug 26, 2015"
N,21880,4,7189740,"Apr 11, 2023",,,U-1982,,
N,21880,5,7968569,"Oct 7, 2023",,,U-1984,,"Jan 17, 2012"
N,21880,5,7189740,"Apr 11, 2023",,,U-1982,,"Jan 17, 2012"
N,21880,5,9101621,"May 15, 2023",,,U-1985,,"Aug 26, 2015"
N,21880,5,8648095,"May 15, 2023",,,U-1984,,
N,22291,1,7795293,"May 21, 2023",,,U-1306,,
N,22291,1,8828430,"Aug 1, 2027",,Y,U-1306,,"Oct 7, 2014"
N,22291,1,7160870,"Nov 20, 2022",Y,Y,U-1306,,
N,22291,1,7547719,"Jul 13, 2025",Y,Y,U-1575,,
N,22291,2,7160870,"Nov 20, 2022",Y,Y,U-1306,,
N,22291,2,8828430,"Aug 1, 2027",,Y,U-2451,,"Oct 7, 2014"
N,22291,3,8828430,"Aug 1, 2027",,Y,U-1306,,"Oct 7, 2014"
N,208623,1,10383864,"May 16, 2027",,,U-2371,,"Sep 4, 2019"
N,212480,1,8334270,"Mar 21, 2028",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,1,8580765,"Mar 21, 2028",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,1,7964580,"Mar 26, 2029",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,2,7964580,"Mar 26, 2029",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,2,8580765,"Mar 21, 2028",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,2,8334270,"Mar 21, 2028",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,1,8618076,"Dec 11, 2030",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,1,9284342,"Sep 13, 2030",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,1,9085573,"Mar 21, 2028",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,1,8633309,"Mar 26, 2029",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,1,8889159,"Mar 26, 2029",,Y,U-1470,,"Sep 23, 2019"
N,212480,2,8633309,"Mar 26, 2029",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,2,9284342,"Sep 13, 2030",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,2,8618076,"Dec 11, 2030",Y,Y,U-1470,,"Sep 23, 2019"
N,212480,2,8889159,"Mar 26, 2029",,Y,U-1470,,"Sep 23, 2019"
N,212480,2,9085573,"Mar 21, 2028",Y,Y,U-1470,,"Sep 23, 2019"
N,212477,1,8580765,"Mar 21, 2028",Y,Y,U-1470,,"Sep 23, 2019"
N,212477,1,8273341,"May 12, 2030",,,U-1470,,"Sep 23, 2019"
N,212477,1,7964580,"Mar 26, 2029",Y,Y,U-1470,,"Sep 23, 2019"
N,212477,1,8334270,"Mar 21, 2028",Y,Y,U-1470,,"Sep 23, 2019"
N,212477,2,8580765,"Mar 21, 2028",Y,Y,U-1470,,"Sep 23, 2019"
N,212477,2,8273341,"May 12, 2030",,,U-1470,,"Sep 23, 2019"
N,212477,2,7964580,"Mar 26, 2029",Y,Y,U-1470,,"Sep 23, 2019"
N,212477,2,8334270,"Mar 21, 2028",Y,Y,U-1470,,"Sep 23, 2019"
N,212477,1,8822430,"May 12, 2030",Y,Y,U-1470,,"Sep 23, 2019"
N,212477,1,8735372,"Mar 21, 2028",,,U-1470,,"Sep 23, 2019"
N,212477,1,8841278,"May 12, 2030",,Y,U-1470,,"Sep 23, 2019"
N,212477,1,8618076,"Dec 11, 2030",Y,Y,U-1470,,"Sep 23, 2019"
N,212477,1,8633309,"Mar 26, 2029",Y,Y,U-1470,,"Sep 23, 2019"
N,212477,2,8633309,"Mar 26, 2029",Y,Y,U-1470,,"Sep 23, 2019"
N,212477,2,8618076,"Dec 11, 2030",Y,Y,U-1470,,"Sep 23, 2019"
